Song,Artist,Initials,Number
Soil To The Sun,Cage The Elephant,S___ T_ T__ S__,504
Solsbury Hill,Peter Gabriel,S_______ H___,505
Something In The Air,Thunderclap Newman,S________ I_ T__ A__,506
Son Of A Preacher Man,Dusty Springfield,S__ O_ A P_______ M__,507
Songbird,Bernard Fanning,S_______,508
Southern Nights,Glen Campbell,S_______ N_____,509
Spiderhead,Cage The Elephant,S_________,511
Spirit In The Sky,Norman Greenbaum,S_____ I_ T__ S__,512
Stacy's Mom,Fountains Of Wayne,S____'_ M__,513
Stand and Deliver,Adam & The Ants,S____ a__ D______,514
Stand by Me,Otis Redding,S____ b_ M_,515
Starman,David Bowie,S______,516
Start of Something New,"Troy, Gabriella Montez",S____ o_ S________ N__,517
Stay with Me,Faces,S___ w___ M_,518
Stop Crying Your Heart Out,Oasis,S___ C_____ Y___ H____ O__,519
Strangers,The Kinks,S________,520
Strawberry Fields Forever,The Beatles,S_________ F_____ F______,521
Street Fighting Man,The Rolling Stones,S_____ F_______ M__,522
Stuck In The Middle With You,Stealers Wheel,S____ I_ T__ M_____ W___ Y__,523
Suicide Is Painless,The Mash,S______ I_ P_______,524
Sultans Of Swing,Dire Straits,S______ O_ S____,525
Summer Breeze,Seals and Crofts,S_____ B_____,526
Summer in the City,The Lovin' Spoonful,S_____ i_ t__ C___,527
Summer Of '69,Bryan Adams,S_____ O_ '__,528
Sunday Shining,Finley Quaye,S_____ S______,529
Sunshine Of Your Love,Cream,S_______ O_ Y___ L___,530
Sunshine on Leith,The Proclaimers,S_______ o_ L____,531
Supersoaker,Kings of Leon,S__________,532
Surfin' U.S.A.,The Beach Boys,S_____' U._._.,533
Surrender,Cheap Trick,S________,534
Survivors,Selena Gomez,S________,535
Sweet Caroline,Neil Diamond,S____ C_______,536
Sweet Child O' Mine,Guns N' Roses,S____ C____ O' M___,537
Sweet Emotion,Aerosmith,S____ E______,538
Sweet Home Alabama,Lynyrd Skynyrd,S____ H___ A______,539
Sweet Home Chicago,The Blues Brothers,S____ H___ C______,540
Sweet Virginia,The Rolling Stones,S____ V_______,541
Tainted Love,Soft Cell,T______ L___,542
Take Her Back,The Pigeon Detectives,T___ H__ B___,543
Take It Easy,Eagles,T___ I_ E___,544
Take It to the Limit,Eagles,T___ I_ t_ t__ L____,545
"Take Me Home, Country Roads",John Denver,"T___ M_ H___, C______ R____",546
Take on Me,a-ha,T___ o_ M_,547
Take Your Mama,Scissor Sisters,T___ Y___ M___,548
Tears in Heaven,Eric Clapton,T____ i_ H_____,549
Teddy Picker,Arctic Monkeys,T____ P_____,550
Teenage Dirtbag,Wheatus,T______ D______,551
Teenage Kicks,The Undertones,T______ K____,552
Telescope,Cage The Elephant,T________,553
Temple,Kings of Leon,T_____,554
Thank God I'm a Country Boy,John Denver,T____ G__ I'_ a C______ B__,555
The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,T__ A_________ o_ R___ D____ M_____,556
The Best of My Love,Eagles,T__ B___ o_ M_ L___,557
The Boys Are Back In Town,Thin Lizzy,T__ B___ A__ B___ I_ T___,558
The Bucket,Kings of Leon,T__ B_____,559
The Cave,Mumford & Sons,T__ C___,560
The Chain,Fleetwood Mac,T__ C____,561
The Day We Caught The Train,Ocean Colour Scene,T__ D__ W_ C_____ T__ T____,562
The Funeral,Band of Horses,T__ F______,563
The House of the Rising Sun,The Animals,T__ H____ o_ t__ R_____ S__,564
The Importance of Being Idle,Oasis,T__ I_________ o_ B____ I___,565
The Killing Moon,Echo & the Bunnymen,T__ K______ M___,566
The Living Daylights,a-ha,T__ L_____ D________,567
The Masterplan,Oasis,T__ M_________,568
The Most Beautiful Girl In The Room,Flight of the Conchords,T__ M___ B________ G___ I_ T__ R___,569
The Night They Drove Old Dixie Down,The Band,T__ N____ T___ D____ O__ D____ D___,570
The Passenger,Iggy Pop,T__ P________,571
The Power Of Love,Huey Lewis & The News,T__ P____ O_ L___,572
The Runner,Foals,T__ R_____,573
The Sky Is A Neighborhood,Foo Fighters,T__ S__ I_ A N___________,574
The Things We Do For Love,10cc,T__ T_____ W_ D_ F__ L___,575
The Underdog,Spoon,T__ U_______,576
The War Is Over,Cage The Elephant,T__ W__ I_ O___,577
The Way It Is,"Bruce Hornsby, The Range",T__ W__ I_ I_,578
The Weight,The Band,T__ W_____,579
The Wind,Yusuf / Cat Stevens,T__ W___,580
There Is a Light That Never Goes Out,The Smiths,T____ I_ a L____ T___ N____ G___ O__,581
There's A Reason Why,Blossoms,T____'_ A R_____ W__,582
This Charming Man,The Smiths,T___ C_______ M__,583
This Is the One,The Stone Roses,T___ I_ t__ O__,584
This Is Why We Can't Have Nice Things,Taylor Swift,T___ I_ W__ W_ C__'_ H___ N___ T_____,585
Three Imaginary Boys,The Cure,T____ I________ B___,586
Through Glass,Stone Sour,T______ G____,587
Thunder Road,Bruce Springsteen,T______ R___,588
Thunderstruck,AC/DC,T____________,589
Tick Tick Boom,The Hives,T___ T___ B___,590
Time After Time,Cyndi Lauper,T___ A____ T___,591
Time For Heroes,The Libertines,T___ F__ H_____,592
Tiny Dancer,Elton John,T___ D_____,593
Today,The Smashing Pumpkins,T____,594
Together In Electric Dreams,"Phil Oakey, Giorgio Moroder",T_______ I_ E_______ D_____,595
Tokyo Smoke,Cage The Elephant,T____ S____,596
Tonight,Kings of Leon,T______,597
Touch Me,The Doors,T____ M_,598
Town Called Malice,The Jam,T___ C_____ M_____,599
Trouble,Cage The Elephant,T______,600
Tumbling Dice,The Rolling Stones,T_______ D___,601
Unchained Melody,The Righteous Brothers,U________ M_____,602
Under Pressure,"Queen, David Bowie",U____ P_______,603
Under the Bridge,Red Hot Chili Peppers,U____ t__ B_____,604
Underdog,You Me At Six,U_______,605
Up Around The Bend,Creedence Clearwater Revival,U_ A_____ T__ B___,606
Use Me,Bill Withers,U__ M_,607
Use Somebody,Kings of Leon,U__ S_______,608
Valerie,Steve Winwood,V______,609
Vienna,Billy Joel,V_____,610
Wait for Me,Kings of Leon,W___ f__ M_,611
Wake Me up Before You Go-Go,Wham!,W___ M_ u_ B_____ Y__ G_-__,612
Walk Of Life,Dire Straits,W___ O_ L___,613
Walk On,Neil Young,W___ O_,614
Walk On the Wild Side,Lou Reed,W___ O_ t__ W___ S___,615
Wall Of Glass,Liam Gallagher,W___ O_ G____,616
WALLS,Kings of Leon,W____,617
Waste A Moment,Kings of Leon,W____ A M_____,618
Watching The Wheels,John Lennon,W_______ T__ W_____,619
Waterfall,The Stone Roses,W________,620
We Are Never Ever Getting Back Together,Taylor Swift,W_ A__ N____ E___ G______ B___ T_______,621
We Didn't Start the Fire,Billy Joel,W_ D___'_ S____ t__ F___,622
We Don't Talk Anymore,"Charlie Puth, Selena Gomez",W_ D__'_ T___ A______,623
We Like Sportz,The Lonely Island,W_ L___ S_____,624
Welcome To New York,Taylor Swift,W______ T_ N__ Y___,625
We're Both In Love with a Sexy Lady,Flight of the Conchords,W_'__ B___ I_ L___ w___ a S___ L___,626
We're Going To Be Friends,The White Stripes,W_'__ G____ T_ B_ F______,627
Wham Bam Shang-A-Lang,Silver,W___ B__ S____-A-L___,628
What I'm Becoming,Cage The Elephant,W___ I'_ B_______,629
What Is Life,George Harrison,W___ I_ L___,630
What Makes A Good Man?,The Heavy,W___ M____ A G___ M__?,631
What Makes You Beautiful,One Direction,W___ M____ Y__ B________,632
"What's The Frequency, Kenneth?",R.E.M.,"W___'_ T__ F________, K______?",633
Whatta Man,"Salt-N-Pepa, En Vogue",W_____ M__,634
When a Man Loves a Woman,Michael Bolton,W___ a M__ L____ a W____,635
When I Come Around,Green Day,W___ I C___ A_____,636
When I'm Sixty Four,The Beatles,W___ I'_ S____ F___,637
When The Sun Goes Down,Arctic Monkeys,W___ T__ S__ G___ D___,638
When You Were Young,The Killers,W___ Y__ W___ Y____,639
While My Guitar Gently Weeps,The Beatles,W____ M_ G_____ G_____ W____,640
While You See A Chance,Steve Winwood,W____ Y__ S__ A C_____,641
Whiskey Drinkin' Woman,Nazareth,W______ D______' W____,642
White Room,Cream,W____ R___,643
Who Are You,The Who,W__ A__ Y__,644
Who Is He?,Bill Withers,W__ I_ H_?,645
Whole New Way,The Horrors,W____ N__ W__,646
Why Me? Why Not.,Liam Gallagher,W__ M_? W__ N__.,647
Wild,Kings of Leon,W___,648
Wild Horses,The Rolling Stones,W___ H_____,649
Wild World,Yusuf / Cat Stevens,W___ W____,650
Wildest Dreams,Taylor Swift,W______ D_____,651
Witchy Woman,Eagles,W_____ W____,652
With A Little Help From My Friends,The Beatles,W___ A L_____ H___ F___ M_ F______,653
Wonderful Tonight,Eric Clapton,W________ T______,654
Wonderwall,Oasis,W_________,655
Wuthering Heights,Kate Bush,W________ H______,656
"Yeah, I Know",Otherkin,"Y___, I K___",657
Yesterday,The Beatles,Y________,658
You Give Love A Bad Name,Bon Jovi,Y__ G___ L___ A B__ N___,659
You Know How We Do It,Ice Cube,Y__ K___ H__ W_ D_ I_,660
"You Looking at Me, Looking at You",Ozzy Osbourne,"Y__ L______ a_ M_, L______ a_ Y__",661
You Make Me Feel Like A Natural Woman,Aretha Franklin,Y__ M___ M_ F___ L___ A N______ W____,662
You Make My Dreams,Daryl Hall & John Oates,Y__ M___ M_ D_____,663
You Might Think,The Cars,Y__ M____ T____,664
You Really Got Me,The Kinks,Y__ R_____ G__ M_,665
You Sexy Thing,Hot Chocolate,Y__ S___ T____,666
You Shook Me All Night Long,AC/DC,Y__ S____ M_ A__ N____ L___,667
Youngblood,Green Day,Y_________,668
Your Girlfriend,Blossoms,Y___ G_________,669
Your Song,Elton John,Y___ S___,670
